model,strategy,window_days,review_threshold,escalate_threshold,worst_regret_pct,mean_regret_pct,mean_cost,validation_pr_auc,complexity_rank
lightgbm,periodic,60,0.3245513496,0.9849490319999998,118.28641296577183,106.65341361343967,20.79583169835976,0.5849111076212508,8
lightgbm,periodic,90,0.140044736,0.8195049055999994,118.78965885936803,91.81088333747424,19.100415665487482,0.5599790432242554,7
xgboost,static,static,0.5327416416,0.9500691480000001,119.59655064341557,104.8469352445403,20.5738210983495,0.4806369510354057,3
xgboost,periodic,30,0.17509768,0.7987268239999995,121.10661399290747,93.59837674734199,19.27476857416719,0.528737951919904,10
tree,static,static,0.46485996,0.8951512,121.56564722857138,103.16676136340331,20.357942202934282,0.3471017186739269,1
tree,static,static,0.74862343,0.9811374,121.76563186457723,106.88977520115918,20.77908711909957,0.3471017186739269,1
xgboost,periodic,30,0.38715403080000027,0.9750373456,121.95298271357449,109.17324259686082,21.036594173888506,0.528737951919904,10
tree,static,static,0.6501569,0.8951512,122.91816501142839,104.08046025745573,20.444953525032947,0.3471017186739269,1
xgboost,periodic,60,0.19804607600000002,0.8166706215999999,123.22222258496471,94.8357692497111,19.389044227554066,0.5369770874552252,9
lightgbm,periodic,30,0.2397558776,0.9821019563999996,124.1628701966365,110.69567245548663,21.182125321369547,0.575586320575787,9
lightgbm,periodic,90,0.36427646720000006,0.9850747667999998,124.61075307689637,111.2016576719836,21.234088315798573,0.5599790432242554,7
xgboost,periodic,60,0.4291320688,0.9795413463999998,125.63845017408752,111.52701512130503,21.25822155748936,0.5369770874552252,9
lightgbm,periodic,60,0.23086628279999982,0.9384870448000009,125.6640360213039,106.59446447097804,20.69656975106397,0.5849111076212508,8
lightgbm,periodic,30,0.16415327159999996,0.9308587964000007,125.81616601321946,106.19553645510706,20.649261680871806,0.575586320575787,9
xgboost,periodic,60,0.3312895928,0.9337740240000006,127.04646682103507,108.17980842106522,20.85964319827875,0.5369770874552252,9
lightgbm,static,static,0.48040240640000004,0.989012444,127.87252508774998,113.50430120602077,21.45521308433699,0.4970771052294929,2
xgboost,periodic,90,0.46188629480000026,0.9825915040000001,128.201400308799,113.44493092323837,21.444330481734323,0.5221895821524528,8
xgboost,static,static,0.33897233,0.8597294739999999,129.08664599745302,102.55146215868592,20.193538457049733,0.4806369510354057,3
xgboost,periodic,90,0.21844927,0.8233074819999998,130.9502223248561,101.56304675070567,20.05767188258009,0.5221895821524528,8
lightgbm,periodic,90,0.25979680439999986,0.9399534288,131.80362983354522,111.88328043975554,21.22142458660805,0.5599790432242554,7
xgboost,periodic,90,0.36076714399999954,0.9358547480000023,134.10291157681615,113.88650059816455,21.420550198386763,0.5221895821524528,8
lightgbm,static,static,0.35957344,0.9579760072000004,134.90311409371296,115.29976063152095,21.571344666667564,0.4970771052294929,2
lightgbm,static,static,0.198144046,0.8614585239999999,135.08770535350578,104.57646187904501,20.348697599913045,0.4970771052294929,2
logistic,static,static,0.7831188179999999,0.9237960911999995,135.40405831974942,110.29922249844826,20.99603775943529,0.29980075206706824,0
tree,static,static,0.74862343,0.99694806,135.66413982487182,118.74369798542739,21.953714284479034,0.3471017186739269,1
xgboost,static,static,0.42234131599999997,0.9500691480000001,135.93136492097676,115.90458991507117,21.627275328849727,0.4806369510354057,3
tree,static,static,0.31245035,0.85832757,136.6859029957657,103.93084338696777,20.255211950782044,0.3471017186739269,1
xgboost,static,static,0.5327416416,0.9851027159999999,137.53478172401606,119.95681686402892,22.06830314325488,0.4806369510354057,3
xgboost,periodic,30,0.2926189079999999,0.9250720020000003,141.60568402487078,118.86403984667463,21.892876979303942,0.528737951919904,10
logistic,static,static,0.6939415868,0.9237960911999995,142.8123036277015,115.31529639305744,21.473936597571775,0.29980075206706824,0
tree,static,static,0.6501569,0.9811374,145.06219672601682,122.66009672318202,22.28151487780304,0.3471017186739269,1
logistic,static,static,0.60395485,0.9237960911999995,147.64412892216586,118.58748601190187,21.785700847382746,0.29980075206706824,0
xgboost,static,static,0.26101152,0.8597294739999999,148.4354712915176,115.64763525672274,21.441166894102807,0.4806369510354057,3
tree,static,static,0.46485996,0.9811374,149.45020220375378,125.63157114366662,22.564625374821773,0.3471017186739269,1
lightgbm,periodic,60,0.23086628279999982,0.9849490319999998,152.24306278356926,129.63772110683163,22.98548616465845,0.5849111076212508,8
xgboost,static,static,0.42234131599999997,0.9851027159999999,152.54922567735156,130.12051068732956,23.036588024519858,0.4806369510354057,3
lightgbm,static,static,0.35957344,0.989012444,155.3553304731164,132.1067409725272,23.227420600644862,0.4970771052294929,2
xgboost,periodic,60,0.3312895928,0.9795413463999998,157.24044624074511,132.91793224633108,23.296085331841795,0.5369770874552252,9
xgboost,periodic,90,0.36076714399999954,0.9825915040000001,158.8231020636922,134.17148460835955,23.4188870215845,0.5221895821524528,8
lightgbm,periodic,30,0.1180461,0.9308587964000007,158.9035554920682,128.59103732356022,22.782812749708352,0.575586320575787,9
tree,static,static,0.6501569,0.99694806,160.84181408927566,135.78471236945157,23.577150052814925,0.3471017186739269,1
tree,static,static,0.3926696,0.8951512,161.09215851324512,129.92178499013764,22.90683179320411,0.3471017186739269,1
xgboost,periodic,30,0.2319671,0.9250720020000003,162.1570297468512,132.77392295672735,23.21802070417108,0.528737951919904,10
logistic,static,static,0.7831188179999999,0.9674687435999999,165.0906508963418,135.51707505510825,23.49341262210514,0.29980075206706824,0
tree,static,static,0.46485996,0.99694806,165.8594718223949,139.1821105729294,23.90083233382931,0.3471017186739269,1
xgboost,periodic,90,0.28519258,0.9358547480000023,168.91972393048013,137.45253584920448,23.665613549277367,0.5221895821524528,8
lightgbm,periodic,60,0.17080683,0.9384870448000009,169.55255818496457,136.30071013670843,23.526591183067247,0.5849111076212508,8
xgboost,periodic,60,0.26052362,0.9337740240000006,170.50413188836276,137.59442146832308,23.661881145180278,0.5369770874552252,9
logistic,static,static,0.8668257348000002,0.9237960911999995,170.6065975362443,134.08878364320321,23.261690639749723,0.29980075206706824,0
logistic,static,static,0.6939415868,0.9674687435999999,170.6875900369362,139.30715381821284,23.854514786550258,0.29980075206706824,0
lightgbm,periodic,30,0.16415327159999996,0.9821019563999996,170.93522224290592,142.35389681119375,24.19810728533777,0.575586320575787,9
lightgbm,periodic,90,0.25979680439999986,0.9850747667999998,171.01864173497736,142.61348334035472,24.226602409608653,0.5599790432242554,7
lightgbm,periodic,90,0.19470406,0.9399534288,171.68728842027892,138.87908358377183,23.79323578948022,0.5599790432242554,7
xgboost,periodic,30,0.2926189079999999,0.9750373456,171.88376652112402,142.96906088065845,24.25621425902212,0.528737951919904,10
logistic,static,static,0.8668257348000002,0.9674687435999999,177.4230445120093,143.8499742279077,24.28699148382445,0.29980075206706824,0
logistic,static,static,0.60395485,0.9674687435999999,180.0306515679336,145.63269357188574,24.4571598204217,0.29980075206706824,0
xgboost,static,static,0.33897233,0.9500691480000001,181.1618310949384,146.51915266707158,24.543829214124845,0.4806369510354057,3
logistic,static,static,0.497300408,0.9237960911999995,181.8758216838591,141.75795760257887,23.993089003197305,0.29980075206706824,0
logistic,static,static,0.7831188179999999,0.9891213324000001,182.20978674429767,149.0512528312871,24.818841978199462,0.29980075206706824,0
logistic,static,static,0.6939415868,0.9891213324000001,186.7978262946564,152.15835790489228,25.114877775465015,0.29980075206706824,0
lightgbm,static,static,0.27405822,0.9579760072000004,186.88866527666715,150.4863538178479,24.9234579574926,0.4970771052294929,2
lightgbm,periodic,30,0.0814797848,0.9308587964000007,187.19688905104218,147.74071161108338,24.60712748636825,0.575586320575787,9
xgboost,periodic,30,0.2319671,0.9750373456,189.65303750693408,154.99551406895478,25.40192322506967,0.528737951919904,10
logistic,static,static,0.8668257348000002,0.9891213324000001,189.842074597588,154.20801268290725,25.30993633166087,0.29980075206706824,0
lightgbm,periodic,60,0.12073507600000001,0.9384870448000009,191.46070575232997,151.12821147544722,24.939140405485098,0.5849111076212508,8
tree,static,static,0.3926696,0.9811374,191.85226846774074,154.3325285318755,25.29889078630182,0.3471017186739269,1
logistic,static,static,0.7831188179999999,0.998064654,191.88862563409788,157.1475670929836,25.618783921666054,0.29980075206706824,0
