feature,train_missing_pct,valid_missing_pct,holdout_missing_pct,missing_delta_train_valid,missing_delta_train_holdout,ks_train_valid,ks_train_holdout,train_nunique,valid_nunique,holdout_nunique,gain_importance,split_importance,perm_pr_auc,perm_pr_auc_drop,max_ks,max_missing_delta,gain_rank,perm_rank,is_predictive,is_shifted,recommendation
V23,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.001093090898988791,0.0026615604092876666,14,11,9,2688.5451259613037,36,,0.0,0.0026615604092876666,6.602189763364283,105.0,54.0,False,False,low_priority
TransactionAmt_outlier_iqr,0.0,0.0,0.0,0.0,0.0,0.007066853219087621,0.0077893557873583985,2,2,2,2585.188777923584,10,,0.0,0.0077893557873583985,0.0,106.0,54.0,False,False,low_priority
V79,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.03237358347397201,0.020620438705156507,8,8,8,2524.397912979126,13,,0.0,0.03237358347397201,6.755076467543024,107.0,54.0,False,False,low_priority
V148,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021400089455991644,0.08216554160590289,16,6,21,2302.482446670532,24,,0.0,0.08216554160590289,7.724004018920539,109.0,54.0,False,False,low_priority
V157,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021400089455991644,0.08216554160590289,16,6,25,2202.97931098938,19,,0.0,0.08216554160590289,7.724004018920539,110.0,54.0,False,False,low_priority
V33,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.028908410193725143,0.00777441951987401,7,4,3,2061.524612426758,19,,0.0,0.028908410193725143,6.602189763364283,112.0,54.0,False,False,low_priority
V171,74.21730232378114,82.98054887616983,79.49560289452592,8.763246552388694,5.278300570744776,0.029276388883426,0.1029430127568034,49,62,45,2010.8489971160889,17,,0.0,0.1029430127568034,8.763246552388694,113.0,54.0,False,False,low_priority
missing_id_count,0.0,0.0,0.0,0.0,0.0,0.08990538744200224,0.05588003211749698,28,26,27,1893.6500959396362,44,,0.0,0.08990538744200224,0.0,116.0,54.0,False,False,low_priority
V57,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.037152341190278215,0.020393381979930902,7,6,7,1866.4220142364502,13,,0.0,0.037152341190278215,7.472015120946607,117.0,54.0,False,False,low_priority
V219,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.02702974021180571,0.07450259078995769,78,41,379,1836.8738737106323,26,,0.0,0.07450259078995769,8.953709841033302,118.0,54.0,False,False,low_priority
V81,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.0338187029841569,0.0166373637649061,20,15,16,1777.1534051895142,33,,0.0,0.0338187029841569,6.755076467543024,119.0,54.0,False,False,low_priority
V39,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.03919081120390355,0.02086757086999025,15,8,16,1712.8889179229736,9,,0.0,0.03919081120390355,4.638853543246132,120.0,54.0,False,False,low_priority
V154,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021575748572438436,0.0819966314629576,9,5,19,1647.3912906646729,11,,0.0,0.0819966314629576,7.724004018920539,122.0,54.0,False,False,low_priority
V199,74.21996332654375,83.21197548006909,79.46399340716407,8.992012153525337,5.24403008062032,0.008424672813205136,0.029755908810158438,46,37,37,1634.2530937194824,7,,0.0,0.029755908810158438,8.992012153525337,123.0,54.0,False,False,low_priority
V232,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.011525845159388037,0.053385493243292004,52,57,338,1591.5152044296265,37,,0.0,0.053385493243292004,8.953709841033302,125.0,54.0,False,False,low_priority
V63,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.03705553327791089,0.0005333039474063606,8,6,6,1559.150302886963,21,,0.0,0.03705553327791089,7.472015120946607,126.0,54.0,False,False,low_priority
V34,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.021652182341247772,0.0035190279417551817,13,5,5,1487.4582901000977,9,,0.0,0.021652182341247772,6.602189763364283,127.0,54.0,False,False,low_priority
