model,strategy,window_days,split,block,rows,fraud_rate,pr_auc,recall_at_5pct,precision_at_5pct,cost_per_txn_proxy,uid_known_pr_auc,uid_unknown_pr_auc,train_seconds,updated,device,psi_score,inference_ms_per_txn
lightgbm,alert,14,valid,3,18646,0.03233937573742358,0.42726976061140226,0.5290215588723052,0.34227467811158796,11.679206716400298,0.5028471482789378,0.407603645933812,0.0,0,cpu,0.0024709599986489934,0.023055698863024998
lightgbm,alert,14,valid,4,9274,0.031917187836963554,0.5153638318086098,0.5608108108108109,0.35853131749460043,10.133801162389478,0.43225123893855666,0.6029434309074859,0.0,0,cpu,0.0050233570893328285,0.025681655488463528
lightgbm,alert,14,holdout,0,21975,0.030716723549488054,0.5179927479680195,0.5688888888888889,0.34972677595628415,11.423726128054607,0.4496509305833563,0.5621925479171904,0.0,0,cpu,0.006284922798418307,0.022441298475543065
lightgbm,alert,14,holdout,1,20656,0.030644848954298993,0.47133211163909594,0.6240126382306477,0.38275193798449614,11.274086819616576,0.5357504408183059,0.44562226444255243,3.6119576690000486,1,cpu,0.08023987506463777,0.024102198683192137
lightgbm,alert,14,holdout,2,20508,0.03510825043885313,0.47467008085627804,0.5652777777777778,0.39707317073170734,16.166194645601717,0.5201383407631983,0.472780539784367,0.0,0,cpu,0.06627968132319036,0.02216457167934455
lightgbm,alert,14,holdout,3,17817,0.04130886232250098,0.6579115514398708,0.65625,0.5426966292134832,17.65746557961497,0.6478490202399197,0.6665644541394391,4.119476736000024,1,cpu,0.07929135783120271,0.02252680372677671
lightgbm,alert,14,holdout,4,7625,0.041836065573770495,0.5792731898445027,0.5862068965517241,0.49081364829396323,21.464812557639345,0.64416108180594,0.5516175783667459,0.0,0,cpu,0.07579075667513238,0.026362490098362005
lightgbm,periodic,30,valid,1,18907,0.03929761464008039,0.6025701403113786,0.620457604306864,0.48783068783068784,12.377683666049611,0.6301009265799629,0.6056376304763518,6.839970117000007,1,cpu,0.0,0.02148765325011925
lightgbm,periodic,30,valid,2,18622,0.033293953388465254,0.5309987584498392,0.6209677419354839,0.41353383458646614,12.348796088175277,0.613065128095062,0.5064599162924681,6.438526388000014,1,cpu,0.028880435730283933,0.021525289174095786
lightgbm,periodic,30,valid,3,18646,0.03233937573742358,0.5058120779270097,0.603648424543947,0.3905579399141631,10.848191103400193,0.6065324126847117,0.45944959446016775,6.380034985000066,1,cpu,0.009726029755377969,0.02206609616003277
lightgbm,periodic,30,valid,4,9274,0.031917187836963554,0.5512240093573803,0.6216216216216216,0.39740820734341253,10.318554008626267,0.53268943081393,0.5912679262822401,6.302429576000009,1,cpu,0.01249454426222989,0.02522089993529517
lightgbm,periodic,30,holdout,0,21975,0.030716723549488054,0.5952349459753076,0.6474074074074074,0.39799635701275043,10.895138129692832,0.5987026136520328,0.6044089676265599,6.297939561000021,1,cpu,0.015000849346359348,0.0211896462343559
lightgbm,periodic,30,holdout,1,20656,0.030644848954298993,0.516342459981645,0.617693522906793,0.37887596899224807,10.776107809159566,0.5972065156466335,0.4820888590044277,6.378243165000072,1,cpu,0.0737128565497265,0.022468843144851543
lightgbm,periodic,30,holdout,2,20508,0.03510825043885313,0.517572942753432,0.5722222222222222,0.40195121951219515,13.237135952798907,0.5218399094438395,0.5302753960790408,5.95861165000008,1,cpu,0.05061034280790702,0.02243753062219821
lightgbm,periodic,30,holdout,3,17817,0.04130886232250098,0.6629178429136184,0.6644021739130435,0.549438202247191,17.236199964528257,0.6689931089381361,0.6646114184794767,6.330802371999994,1,cpu,0.038559199337495006,0.021574787057305183
lightgbm,periodic,30,holdout,4,7625,0.041836065573770495,0.6666153727103337,0.658307210031348,0.5511811023622047,19.99387114072131,0.688914947171412,0.6580254308560656,6.232146241999999,1,cpu,0.06734540027948037,0.02633299777048929
lightgbm,alert,30,valid,1,18907,0.03929761464008039,0.6025701403113786,0.620457604306864,0.48783068783068784,12.377683666049611,0.6301009265799629,0.6056376304763518,6.617038899000022,1,cpu,0.0,0.022113193843552755
lightgbm,alert,30,valid,2,18622,0.033293953388465254,0.4773282463535228,0.5693548387096774,0.3791621911922664,13.295843375040276,0.4929513684533394,0.4811107272649909,0.0,0,cpu,0.0021160334571543775,0.021358114004939706
lightgbm,alert,30,valid,3,18646,0.03233937573742358,0.4361060477045896,0.5058043117744611,0.3272532188841202,12.414833882763057,0.5147579935225396,0.4229938702577442,0.0,0,cpu,0.0027477108963775733,0.021181714684117114
lightgbm,alert,30,valid,4,9274,0.031917187836963554,0.496443320557488,0.5371621621621622,0.3434125269978402,10.153736226439507,0.40871139648342225,0.5857431003667571,0.0,0,cpu,0.0031348084987067168,0.023622853245632895
lightgbm,alert,30,holdout,0,21975,0.030716723549488054,0.5382537641147838,0.5851851851851851,0.35974499089253187,11.672592933788394,0.49136399256884883,0.5732307047229526,0.0,0,cpu,0.0064031879031492146,0.021523664391354738
lightgbm,alert,30,holdout,1,20656,0.030644848954298993,0.516342459981645,0.617693522906793,0.37887596899224807,10.776107809159566,0.5972065156466335,0.4820888590044277,6.270817675999979,1,cpu,0.0737128565497265,0.022162270381486313
lightgbm,alert,30,holdout,2,20508,0.03510825043885313,0.5072214909331649,0.5694444444444444,0.4,15.29837408152916,0.5355349275026128,0.5149015221305707,0.0,0,cpu,0.053110519631667824,0.022632835186268508
lightgbm,alert,30,holdout,3,17817,0.04130886232250098,0.6629178429136184,0.6644021739130435,0.549438202247191,17.236199964528257,0.6689931089381361,0.6646114184794767,6.437747803999969,1,cpu,0.038559199337495006,0.023228813885612078
lightgbm,alert,30,holdout,4,7625,0.041836065573770495,0.5999079407288449,0.5987460815047022,0.5013123359580053,22.781734218491803,0.6041283426565967,0.6122674295680641,0.0,0,cpu,0.03762317871252871,0.028391730360662684
lightgbm,periodic,45,valid,1,18907,0.03929761464008039,0.5990301977803261,0.6123822341857336,0.48148148148148145,12.617116134024435,0.6139437157958265,0.6086663559307623,9.651035078000064,1,cpu,0.0,0.021576656264870212
lightgbm,periodic,45,valid,2,18622,0.033293953388465254,0.5387995104523862,0.603225806451613,0.40171858216971,12.906406131350016,0.6034169143548446,0.5207970116239744,9.223396938000064,1,cpu,0.0018065995807739444,0.02161864541940163
lightgbm,periodic,45,valid,3,18646,0.03233937573742358,0.5044003795497843,0.5903814262023217,0.38197424892703863,11.017915225249382,0.6214119331526222,0.458148653753397,9.37679161699998,1,cpu,0.0046781051927143906,0.022344356108549148
lightgbm,periodic,45,valid,4,9274,0.031917187836963554,0.5505425725989311,0.6385135135135135,0.408207343412527,10.07921569074833,0.5083688350618759,0.606406217799104,8.43756693499995,1,cpu,0.015504372660301989,0.02384716519302228
lightgbm,periodic,45,holdout,0,21975,0.030716723549488054,0.5866638854983647,0.6414814814814814,0.39435336976320584,11.412896492559726,0.5514453044004072,0.6135983957058694,8.832148643999972,1,cpu,0.02356923805194814,0.021734885415244456
lightgbm,periodic,45,holdout,1,20656,0.030644848954298993,0.523566887871155,0.5955766192733017,0.3653100775193798,10.036413829298994,0.5992720740952543,0.5004993696094013,8.375053671000046,1,cpu,0.02190092005680815,0.022241237025561886
